country,year,month,month_number,quarter,age_group,population,cases,deaths,incidence_per_1000,mortality_per_1000,case_fatality_rate,itn_coverage,irs_coverage,act_treatment_rate,risk_level,region,gdp_per_capita,healthcare_access
Nigeria,2020,September,9,3,65+ years,10900000,10388868,182438,953.11,16.737,1.76,52.6,24.8,75.7,high,West Africa,2097,45
Nigeria,2020,October,10,4,0-5 years,39240000,21866558,232185,557.25,5.917,1.06,59.3,22.8,70.4,high,West Africa,2097,45
Nigeria,2020,October,10,4,5-15 years,54500000,23567504,345963,432.43,6.348,1.47,61.2,18.4,65.4,high,West Africa,2097,45
Nigeria,2020,October,10,4,15-65 years,113360000,35547520,866932,313.58,7.648,2.44,47.9,27.1,73.0,high,West Africa,2097,45
Nigeria,2020,October,10,4,65+ years,10900000,3747815,52703,343.84,4.835,1.41,48.0,17.7,69.1,high,West Africa,2097,45
Nigeria,2020,November,11,4,0-5 years,39240000,22414753,240217,571.22,6.122,1.07,58.5,28.8,75.5,high,West Africa,2097,45
Nigeria,2020,November,11,4,5-15 years,54500000,33614007,422228,616.77,7.747,1.26,57.8,22.1,73.8,high,West Africa,2097,45
Nigeria,2020,November,11,4,15-65 years,113360000,30215809,556308,266.55,4.907,1.84,48.3,29.5,67.7,high,West Africa,2097,45
Nigeria,2020,November,11,4,65+ years,10900000,4260209,106132,390.84,9.737,2.49,48.1,26.1,72.5,high,West Africa,2097,45
Nigeria,2020,December,12,4,0-5 years,39240000,20920226,196803,533.14,5.015,0.94,64.4,15.3,75.7,high,West Africa,2097,45
Nigeria,2020,December,12,4,5-15 years,54500000,33882761,396302,621.7,7.272,1.17,64.3,26.0,66.1,high,West Africa,2097,45
Nigeria,2020,December,12,4,15-65 years,113360000,25149373,207138,221.85,1.827,0.82,48.3,17.7,76.9,high,West Africa,2097,45
Nigeria,2020,December,12,4,65+ years,10900000,4878153,40356,447.54,3.702,0.83,51.2,20.6,78.5,high,West Africa,2097,45
Nigeria,2021,January,1,1,0-5 years,39240000,22479657,238543,572.88,6.079,1.06,51.0,22.8,73.8,high,West Africa,2097,45
Nigeria,2021,January,1,1,5-15 years,54500000,21665517,584231,397.53,10.72,2.7,66.5,24.9,77.7,high,West Africa,2097,45
Nigeria,2021,January,1,1,15-65 years,113360000,26070435,663335,229.98,5.852,2.54,48.6,31.4,72.8,high,West Africa,2097,45
Nigeria,2021,January,1,1,65+ years,10900000,3435615,59715,315.19,5.478,1.74,57.9,30.4,77.5,high,West Africa,2097,45
Nigeria,2021,February,2,1,0-5 years,39240000,28697031,256905,731.32,6.547,0.9,63.2,26.5,69.1,high,West Africa,2097,45
Nigeria,2021,February,2,1,5-15 years,54500000,24540577,132399,450.29,2.429,0.54,67.6,18.0,77.0,high,West Africa,2097,45
Nigeria,2021,February,2,1,15-65 years,113360000,28699759,827943,253.17,7.304,2.88,57.8,27.6,72.0,high,West Africa,2097,45
Nigeria,2021,February,2,1,65+ years,10900000,4011899,93439,368.06,8.572,2.33,48.8,17.7,69.5,high,West Africa,2097,45
Nigeria,2021,March,3,1,0-5 years,39240000,22472632,134976,572.7,3.44,0.6,66.1,17.3,69.4,high,West Africa,2097,45
Nigeria,2021,March,3,1,5-15 years,54500000,18807181,96550,345.09,1.772,0.51,52.4,30.8,70.0,high,West Africa,2097,45
Nigeria,2021,March,3,1,15-65 years,113360000,22367748,397621,197.32,3.508,1.78,55.1,22.4,76.4,high,West Africa,2097,45
Nigeria,2021,March,3,1,65+ years,10900000,3287533,37048,301.61,3.399,1.13,61.3,20.4,72.6,high,West Africa,2097,45
Nigeria,2021,April,4,2,0-5 years,39240000,17077543,407102,435.21,10.375,2.38,63.6,20.0,80.8,high,West Africa,2097,45
Nigeria,2021,April,4,2,5-15 years,54500000,23049126,456579,422.92,8.378,1.98,61.8,29.1,69.7,high,West Africa,2097,45
Nigeria,2021,April,4,2,15-65 years,113360000,22952625,119343,202.48,1.053,0.52,51.5,27.8,79.4,high,West Africa,2097,45
Nigeria,2021,April,4,2,65+ years,10900000,3052425,85759,280.04,7.868,2.81,61.4,18.4,68.7,high,West Africa,2097,45
Nigeria,2021,May,5,2,0-5 years,39240000,63633487,702440,1621.65,17.901,1.1,55.1,27.5,75.3,high,West Africa,2097,45
Nigeria,2021,May,5,2,5-15 years,54500000,51448820,1520878,944.02,27.906,2.96,65.0,24.5,67.7,high,West Africa,2097,45
Nigeria,2021,May,5,2,15-65 years,113360000,61548946,1017829,542.95,8.979,1.65,67.8,19.4,68.9,high,West Africa,2097,45
Nigeria,2021,May,5,2,65+ years,10900000,7363634,46743,675.56,4.288,0.63,62.6,26.3,71.3,high,West Africa,2097,45
Nigeria,2021,June,6,2,0-5 years,39240000,71789125,1924127,1829.49,49.035,2.68,57.9,29.0,76.9,high,West Africa,2097,45
Nigeria,2021,June,6,2,5-15 years,54500000,79641975,1443171,1461.32,26.48,1.81,49.1,26.2,80.7,high,West Africa,2097,45
Nigeria,2021,June,6,2,15-65 years,113360000,79373819,481256,700.19,4.245,0.61,55.4,17.9,81.3,high,West Africa,2097,45
Nigeria,2021,June,6,2,65+ years,10900000,12270666,357922,1125.75,32.837,2.92,58.5,20.0,70.3,high,West Africa,2097,45
Nigeria,2021,July,7,3,0-5 years,39240000,69445935,1709057,1769.77,43.554,2.46,65.8,25.9,70.5,high,West Africa,2097,45
Nigeria,2021,July,7,3,5-15 years,54500000,71124603,1861832,1305.04,34.162,2.62,54.6,26.5,76.4,high,West Africa,2097,45
Nigeria,2021,July,7,3,15-65 years,113360000,53757371,469414,474.22,4.141,0.87,65.1,30.9,72.1,high,West Africa,2097,45
Nigeria,2021,July,7,3,65+ years,10900000,8076015,108813,740.92,9.983,1.35,63.0,28.6,69.2,high,West Africa,2097,45
Nigeria,2021,August,8,3,0-5 years,39240000,71601318,1830036,1824.7,46.637,2.56,53.3,21.2,80.0,high,West Africa,2097,45
Nigeria,2021,August,8,3,5-15 years,54500000,66432160,490965,1218.94,9.009,0.74,58.1,21.6,74.2,high,West Africa,2097,45
Nigeria,2021,August,8,3,15-65 years,113360000,72672907,512218,641.08,4.519,0.7,48.3,22.9,70.6,high,West Africa,2097,45
Nigeria,2021,August,8,3,65+ years,10900000,10446733,213782,958.42,19.613,2.05,62.8,21.6,76.2,high,West Africa,2097,45
Nigeria,2021,September,9,3,0-5 years,39240000,66868632,1028361,1704.09,26.207,1.54,61.4,17.4,76.7,high,West Africa,2097,45
Nigeria,2021,September,9,3,5-15 years,54500000,93775185,617469,1720.65,11.33,0.66,61.4,17.4,81.3,high,West Africa,2097,45
Nigeria,2021,September,9,3,15-65 years,113360000,71934720,1930808,634.57,17.033,2.68,54.8,22.1,72.7,high,West Africa,2097,45
Nigeria,2021,September,9,3,65+ years,10900000,10756582,321667,986.84,29.511,2.99,52.0,20.5,71.7,high,West Africa,2097,45
Nigeria,2021,October,10,4,0-5 years,39240000,16785334,192587,427.76,4.908,1.15,61.3,28.9,77.2,high,West Africa,2097,45
Nigeria,2021,October,10,4,5-15 years,54500000,21987965,188366,403.45,3.456,0.86,64.5,18.3,69.1,high,West Africa,2097,45
Nigeria,2021,October,10,4,15-65 years,113360000,28341141,592029,250.01,5.223,2.09,54.9,20.7,81.3,high,West Africa,2097,45
Nigeria,2021,October,10,4,65+ years,10900000,3341537,35583,306.56,3.264,1.06,57.8,31.7,80.4,high,West Africa,2097,45
Nigeria,2021,November,11,4,0-5 years,39240000,25807538,663867,657.68,16.918,2.57,50.7,25.5,81.7,high,West Africa,2097,45
Nigeria,2021,November,11,4,5-15 years,54500000,36870188,233370,676.52,4.282,0.63,53.6,20.3,76.4,high,West Africa,2097,45
Nigeria,2021,November,11,4,15-65 years,113360000,21395911,419553,188.74,3.701,1.96,59.5,31.7,68.8,high,West Africa,2097,45
Nigeria,2021,November,11,4,65+ years,10900000,2652057,17695,243.31,1.623,0.67,64.1,28.6,74.9,high,West Africa,2097,45
Nigeria,2021,December,12,4,0-5 years,39240000,25161885,222768,641.23,5.677,0.89,49.9,27.9,72.6,high,West Africa,2097,45
Nigeria,2021,December,12,4,5-15 years,54500000,17757777,160212,325.83,2.94,0.9,56.0,18.4,68.6,high,West Africa,2097,45
Nigeria,2021,December,12,4,15-65 years,113360000,30666311,767872,270.52,6.774,2.5,62.9,20.5,77.4,high,West Africa,2097,45
Nigeria,2021,December,12,4,65+ years,10900000,4095436,76448,375.73,7.014,1.87,50.4,20.8,69.5,high,West Africa,2097,45
Nigeria,2022,January,1,1,0-5 years,39240000,17657152,435675,449.98,11.103,2.47,56.8,30.1,82.8,high,West Africa,2097,45
Nigeria,2022,January,1,1,5-15 years,54500000,23156509,316103,424.89,5.8,1.37,56.1,29.6,71.9,high,West Africa,2097,45
Nigeria,2022,January,1,1,15-65 years,113360000,31124764,340115,274.57,3.0,1.09,65.3,21.6,81.9,high,West Africa,2097,45
Nigeria,2022,January,1,1,65+ years,10900000,3038911,46950,278.8,4.307,1.54,59.3,22.8,73.3,high,West Africa,2097,45
Nigeria,2022,February,2,1,0-5 years,39240000,29881047,248997,761.49,6.345,0.83,53.3,33.9,77.6,high,West Africa,2097,45
Nigeria,2022,February,2,1,5-15 years,54500000,28401952,264607,521.14,4.855,0.93,57.6,33.4,72.2,high,West Africa,2097,45
Nigeria,2022,February,2,1,15-65 years,113360000,30626996,329436,270.17,2.906,1.08,62.4,23.3,80.8,high,West Africa,2097,45
Nigeria,2022,February,2,1,65+ years,10900000,3705461,106639,339.95,9.783,2.88,52.1,19.1,78.4,high,West Africa,2097,45
Nigeria,2022,March,3,1,0-5 years,39240000,19501593,353382,496.98,9.006,1.81,65.1,32.9,79.6,high,West Africa,2097,45
Nigeria,2022,March,3,1,5-15 years,54500000,25814699,362414,473.66,6.65,1.4,55.5,22.0,84.5,high,West Africa,2097,45
Nigeria,2022,March,3,1,15-65 years,113360000,17311960,515193,152.72,4.545,2.98,63.3,24.9,74.1,high,West Africa,2097,45
Nigeria,2022,March,3,1,65+ years,10900000,3836760,22280,352.0,2.044,0.58,66.4,32.4,82.6,high,West Africa,2097,45
Nigeria,2022,April,4,2,0-5 years,39240000,28284181,207096,720.8,5.278,0.73,56.6,27.3,80.7,high,West Africa,2097,45
Nigeria,2022,April,4,2,5-15 years,54500000,33831624,305598,620.76,5.607,0.9,66.3,28.9,75.9,high,West Africa,2097,45
Nigeria,2022,April,4,2,15-65 years,113360000,21686614,555239,191.31,4.898,2.56,54.7,30.5,72.0,high,West Africa,2097,45
Nigeria,2022,April,4,2,65+ years,10900000,2926938,36349,268.53,3.335,1.24,55.2,33.7,83.0,high,West Africa,2097,45
Nigeria,2022,May,5,2,0-5 years,39240000,51016662,1211675,1300.12,30.879,2.38,60.3,27.9,77.1,high,West Africa,2097,45
Nigeria,2022,May,5,2,5-15 years,54500000,60847285,349146,1116.46,6.406,0.57,70.1,21.8,73.4,high,West Africa,2097,45
Nigeria,2022,May,5,2,15-65 years,113360000,58544921,1553918,516.45,13.708,2.65,51.6,29.4,81.6,high,West Africa,2097,45
Nigeria,2022,May,5,2,65+ years,10900000,10874024,168198,997.62,15.431,1.55,60.0,19.0,79.4,high,West Africa,2097,45
Nigeria,2022,June,6,2,0-5 years,39240000,63218992,1477952,1611.09,37.664,2.34,61.0,23.0,84.5,high,West Africa,2097,45
Nigeria,2022,June,6,2,5-15 years,54500000,63904300,1440370,1172.56,26.429,2.25,60.2,26.0,77.3,high,West Africa,2097,45
Nigeria,2022,June,6,2,15-65 years,113360000,71182826,2008114,627.94,17.714,2.82,62.4,33.9,75.8,high,West Africa,2097,45
Nigeria,2022,June,6,2,65+ years,10900000,9389013,48822,861.38,4.479,0.52,53.5,21.5,83.0,high,West Africa,2097,45
Nigeria,2022,July,7,3,0-5 years,39240000,57831441,993138,1473.79,25.309,1.72,61.7,32.2,81.8,high,West Africa,2097,45
Nigeria,2022,July,7,3,5-15 years,54500000,59163147,1016120,1085.56,18.644,1.72,51.6,27.4,77.9,high,West Africa,2097,45
Nigeria,2022,July,7,3,15-65 years,113360000,76527790,1448155,675.09,12.775,1.89,63.1,31.3,82.9,high,West Africa,2097,45
Nigeria,2022,July,7,3,65+ years,10900000,7891530,117895,723.99,10.816,1.49,66.3,31.1,83.0,high,West Africa,2097,45
Nigeria,2022,August,8,3,0-5 years,39240000,56989632,1447786,1452.34,36.896,2.54,66.1,21.8,79.7,high,West Africa,2097,45
Nigeria,2022,August,8,3,5-15 years,54500000,49277282,1090561,904.17,20.01,2.21,51.8,29.6,74.6,high,West Africa,2097,45
Nigeria,2022,August,8,3,15-65 years,113360000,74013849,1608187,652.91,14.187,2.17,52.9,25.0,76.0,high,West Africa,2097,45
Nigeria,2022,August,8,3,65+ years,10900000,8366479,45340,767.57,4.16,0.54,56.2,32.4,80.6,high,West Africa,2097,45
Nigeria,2022,September,9,3,0-5 years,39240000,62988197,1025580,1605.2,26.136,1.63,70.2,21.5,78.7,high,West Africa,2097,45
Nigeria,2022,September,9,3,5-15 years,54500000,61910880,327300,1135.98,6.006,0.53,51.8,30.4,83.5,high,West Africa,2097,45
Nigeria,2022,September,9,3,15-65 years,113360000,59932490,1195532,528.69,10.546,1.99,69.7,32.8,80.1,high,West Africa,2097,45
Nigeria,2022,September,9,3,65+ years,10900000,7909365,192087,725.63,17.623,2.43,64.5,19.3,76.6,high,West Africa,2097,45
Nigeria,2022,October,10,4,0-5 years,39240000,21207823,491105,540.46,12.515,2.32,55.0,23.1,78.9,high,West Africa,2097,45
Nigeria,2022,October,10,4,5-15 years,54500000,25514183,352848,468.15,6.474,1.38,68.0,22.6,80.7,high,West Africa,2097,45
Nigeria,2022,October,10,4,15-65 years,113360000,21010736,252706,185.35,2.229,1.2,52.0,24.7,84.6,high,West Africa,2097,45
Nigeria,2022,October,10,4,65+ years,10900000,4363238,59580,400.3,5.466,1.37,64.3,30.5,76.5,high,West Africa,2097,45
Nigeria,2022,November,11,4,0-5 years,39240000,25383801,549556,646.89,14.005,2.16,62.2,33.9,84.6,high,West Africa,2097,45
Nigeria,2022,November,11,4,5-15 years,54500000,20865554,285502,382.85,5.239,1.37,55.9,27.8,71.6,high,West Africa,2097,45
Nigeria,2022,November,11,4,15-65 years,113360000,24424890,563577,215.46,4.972,2.31,67.0,33.1,74.0,high,West Africa,2097,45
Nigeria,2022,November,11,4,65+ years,10900000,4684413,91041,429.76,8.352,1.94,58.7,19.5,79.9,high,West Africa,2097,45
Nigeria,2022,December,12,4,0-5 years,39240000,22166618,242232,564.9,6.173,1.09,65.5,28.9,75.1,high,West Africa,2097,45
Nigeria,2022,December,12,4,5-15 years,54500000,24361783,300140,447.01,5.507,1.23,58.8,23.5,71.3,high,West Africa,2097,45
Nigeria,2022,December,12,4,15-65 years,113360000,25909720,324702,228.56,2.864,1.25,68.6,24.0,71.0,high,West Africa,2097,45
Nigeria,2022,December,12,4,65+ years,10900000,3117392,23744,286.0,2.178,0.76,65.9,24.6,73.1,high,West Africa,2097,45
Nigeria,2023,January,1,1,0-5 years,39240000,22381892,474801,570.38,12.1,2.12,69.5,27.2,85.7,high,West Africa,2097,45
Nigeria,2023,January,1,1,5-15 years,54500000,16228159,83516,297.76,1.532,0.51,54.6,21.2,76.5,high,West Africa,2097,45
Nigeria,2023,January,1,1,15-65 years,113360000,21255588,216167,187.51,1.907,1.02,59.0,32.4,84.0,high,West Africa,2097,45
Nigeria,2023,January,1,1,65+ years,10900000,3083960,35235,282.93,3.233,1.14,54.5,31.2,74.2,high,West Africa,2097,45
Nigeria,2023,February,2,1,0-5 years,39240000,24926554,563741,635.23,14.366,2.26,64.4,29.0,80.4,high,West Africa,2097,45
Nigeria,2023,February,2,1,5-15 years,54500000,23988171,503810,440.15,9.244,2.1,64.3,23.0,87.4,high,West Africa,2097,45
Nigeria,2023,February,2,1,15-65 years,113360000,17664062,325223,155.82,2.869,1.84,70.0,24.4,81.1,high,West Africa,2097,45
Nigeria,2023,February,2,1,65+ years,10900000,2801719,31550,257.04,2.894,1.13,64.4,22.5,76.0,high,West Africa,2097,45
Nigeria,2023,March,3,1,0-5 years,39240000,26112931,372856,665.47,9.502,1.43,67.3,29.1,80.5,high,West Africa,2097,45
Nigeria,2023,March,3,1,5-15 years,54500000,26230587,390178,481.3,7.159,1.49,62.2,27.3,74.4,high,West Africa,2097,45
Nigeria,2023,March,3,1,15-65 years,113360000,18151989,240396,160.13,2.121,1.32,57.2,26.8,85.5,high,West Africa,2097,45
Nigeria,2023,March,3,1,65+ years,10900000,3183619,41100,292.08,3.771,1.29,60.6,27.3,73.0,high,West Africa,2097,45
Nigeria,2023,April,4,2,0-5 years,39240000,22384339,332848,570.45,8.482,1.49,62.0,25.0,77.9,high,West Africa,2097,45
Nigeria,2023,April,4,2,5-15 years,54500000,17472373,463273,320.59,8.5,2.65,62.6,34.0,73.2,high,West Africa,2097,45
Nigeria,2023,April,4,2,15-65 years,113360000,22219523,144022,196.01,1.27,0.65,69.6,26.0,73.6,high,West Africa,2097,45
Nigeria,2023,April,4,2,65+ years,10900000,3045088,43855,279.37,4.023,1.44,55.6,21.8,82.6,high,West Africa,2097,45
Nigeria,2023,May,5,2,0-5 years,39240000,44154392,683103,1125.24,17.408,1.55,71.2,22.4,77.8,high,West Africa,2097,45
Nigeria,2023,May,5,2,5-15 years,54500000,67475986,1111740,1238.09,20.399,1.65,57.6,27.8,84.2,high,West Africa,2097,45
Nigeria,2023,May,5,2,15-65 years,113360000,59571565,1214325,525.51,10.712,2.04,65.9,27.9,77.2,high,West Africa,2097,45
Nigeria,2023,May,5,2,65+ years,10900000,5676897,123926,520.82,11.369,2.18,54.4,21.8,80.1,high,West Africa,2097,45
Nigeria,2023,June,6,2,0-5 years,39240000,56572376,908455,1441.7,23.151,1.61,63.0,30.8,80.5,high,West Africa,2097,45
Nigeria,2023,June,6,2,5-15 years,54500000,67178694,1441906,1232.64,26.457,2.15,70.0,34.2,77.6,high,West Africa,2097,45
Nigeria,2023,June,6,2,15-65 years,113360000,38954245,868923,343.63,7.665,2.23,61.3,23.6,75.3,high,West Africa,2097,45
Nigeria,2023,June,6,2,65+ years,10900000,8083440,241223,741.6,22.131,2.98,68.5,21.7,79.4,high,West Africa,2097,45
Nigeria,2023,July,7,3,0-5 years,39240000,60267563,804122,1535.87,20.492,1.33,68.3,31.9,73.8,high,West Africa,2097,45
Nigeria,2023,July,7,3,5-15 years,54500000,75962763,1551655,1393.81,28.471,2.04,71.2,21.6,75.9,high,West Africa,2097,45
Nigeria,2023,July,7,3,15-65 years,113360000,41666754,1102740,367.56,9.728,2.65,66.0,30.9,82.9,high,West Africa,2097,45
Nigeria,2023,July,7,3,65+ years,10900000,8125046,106118,745.42,9.736,1.31,58.4,29.4,77.1,high,West Africa,2097,45
Nigeria,2023,August,8,3,0-5 years,39240000,74669960,1248266,1902.9,31.811,1.67,63.5,22.1,74.7,high,West Africa,2097,45
Nigeria,2023,August,8,3,5-15 years,54500000,61650401,832121,1131.2,15.268,1.35,59.0,23.3,80.2,high,West Africa,2097,45
Nigeria,2023,August,8,3,15-65 years,113360000,54542294,850615,481.14,7.504,1.56,58.6,30.6,86.5,high,West Africa,2097,45
Nigeria,2023,August,8,3,65+ years,10900000,7023226,84077,644.33,7.713,1.2,57.1,23.5,82.4,high,West Africa,2097,45
Nigeria,2023,September,9,3,0-5 years,39240000,60113724,1045008,1531.95,26.631,1.74,54.9,27.5,77.3,high,West Africa,2097,45
Nigeria,2023,September,9,3,5-15 years,54500000,54221106,1323810,994.88,24.29,2.44,73.7,34.6,77.9,high,West Africa,2097,45
Nigeria,2023,September,9,3,15-65 years,113360000,55771867,646008,491.99,5.699,1.16,57.2,29.2,77.7,high,West Africa,2097,45
Nigeria,2023,September,9,3,65+ years,10900000,8602889,129603,789.26,11.89,1.51,59.9,24.6,73.2,high,West Africa,2097,45
Nigeria,2023,October,10,4,0-5 years,39240000,30688357,213591,782.07,5.443,0.7,56.2,25.7,84.4,high,West Africa,2097,45
Nigeria,2023,October,10,4,5-15 years,54500000,21392668,216293,392.53,3.969,1.01,63.0,35.9,76.0,high,West Africa,2097,45
Nigeria,2023,October,10,4,15-65 years,113360000,24501677,237300,216.14,2.093,0.97,57.0,27.2,72.9,high,West Africa,2097,45
Nigeria,2023,October,10,4,65+ years,10900000,2719360,39010,249.48,3.579,1.43,72.4,25.1,82.8,high,West Africa,2097,45
Nigeria,2023,November,11,4,0-5 years,39240000,22259689,543987,567.27,13.863,2.44,69.5,27.5,83.7,high,West Africa,2097,45
Nigeria,2023,November,11,4,5-15 years,54500000,15396587,162335,282.51,2.979,1.05,60.0,32.3,73.3,high,West Africa,2097,45
Nigeria,2023,November,11,4,15-65 years,113360000,27992620,334785,246.94,2.953,1.2,57.4,24.5,80.8,high,West Africa,2097,45
Nigeria,2023,November,11,4,65+ years,10900000,3699803,25417,339.43,2.332,0.69,65.4,24.7,87.0,high,West Africa,2097,45
Nigeria,2023,December,12,4,0-5 years,39240000,25495566,403292,649.73,10.278,1.58,63.4,27.0,82.6,high,West Africa,2097,45
Nigeria,2023,December,12,4,5-15 years,54500000,16872749,438711,309.59,8.05,2.6,60.3,21.5,75.7,high,West Africa,2097,45
Nigeria,2023,December,12,4,15-65 years,113360000,25152569,495818,221.88,4.374,1.97,73.6,24.6,80.1,high,West Africa,2097,45
Nigeria,2023,December,12,4,65+ years,10900000,2816719,46389,258.41,4.256,1.65,73.4,21.9,76.0,high,West Africa,2097,45
Nigeria,2024,January,1,1,0-5 years,39240000,14278691,295271,363.88,7.525,2.07,71.5,30.8,77.4,high,West Africa,2097,45
Nigeria,2024,January,1,1,5-15 years,54500000,21289356,420918,390.63,7.723,1.98,57.3,27.7,89.6,high,West Africa,2097,45
Nigeria,2024,January,1,1,15-65 years,113360000,23004580,483262,202.93,4.263,2.1,65.8,24.4,87.7,high,West Africa,2097,45
Nigeria,2024,January,1,1,65+ years,10900000,2968219,35831,272.31,3.287,1.21,66.3,37.9,78.9,high,West Africa,2097,45
Nigeria,2024,February,2,1,0-5 years,39240000,15894381,214118,405.06,5.457,1.35,64.1,26.7,76.0,high,West Africa,2097,45
Nigeria,2024,February,2,1,5-15 years,54500000,20922750,621474,383.9,11.403,2.97,61.9,34.4,81.5,high,West Africa,2097,45
Nigeria,2024,February,2,1,15-65 years,113360000,15176991,179382,133.88,1.582,1.18,59.1,23.5,75.9,high,West Africa,2097,45
Nigeria,2024,February,2,1,65+ years,10900000,2898593,28098,265.93,2.578,0.97,64.6,36.4,79.3,high,West Africa,2097,45
Nigeria,2024,March,3,1,0-5 years,39240000,18754819,333602,477.95,8.502,1.78,59.4,32.3,76.6,high,West Africa,2097,45
Nigeria,2024,March,3,1,5-15 years,54500000,19619628,545655,359.99,10.012,2.78,73.4,28.6,78.3,high,West Africa,2097,45
